0.7685,0.9769,0.4551,0.8704
0.8144,0.9853,0.6906,0.935
0.8485,0.9903,0.8438,0.9613
0.8706,0.9931,0.9149,0.9743
0.8875,0.9939,0.9425,0.9821
0.9001,0.9951,0.9567,0.986
0.9098,0.9952,0.9647,0.9888
0.9161,0.9958,0.9691,0.9908
0.9196,0.9961,0.9718,0.9933
0.9196,0.9961,0.9735,0.9943
0.3966,0.8147,0.6371,0.8699
0.5226,0.8993,0.8116,0.9249
0.6577,0.9485,0.8925,0.9534
0.7686,0.9774,0.9297,0.9669
0.8404,0.9894,0.9464,0.9771
0.8772,0.9937,0.9571,0.9833
0.8982,0.9954,0.965,0.9876
0.9129,0.9965,0.9687,0.9903
0.9177,0.9966,0.9715,0.9925
0.9196,0.9961,0.9735,0.9943
0.8794,0.993,0.1311,0.7442
0.8904,0.994,0.2913,0.9351
0.8983,0.9941,0.6367,0.9744
0.9051,0.9948,0.8773,0.9819
0.9111,0.9954,0.9434,0.9862
0.9136,0.9961,0.9593,0.989
0.9157,0.996,0.966,0.9903
0.9179,0.9962,0.9697,0.9924
0.919,0.9965,0.9723,0.9933
0.9196,0.9961,0.9735,0.9943
0.1415,0.5132,0.0004,0.0076
0.225,0.5526,0.0117,0.0675
0.3643,0.7037,0.3609,0.8909
0.5576,0.8952,0.8351,0.9668
0.7516,0.9684,0.9454,0.977
0.8487,0.9879,0.9601,0.9813
0.8935,0.9935,0.9667,0.9852
0.9114,0.9955,0.97,0.9891
0.9189,0.9964,0.9722,0.9923
0.9196,0.9961,0.9735,0.9943
0.9021,0.993,0.9764,0.9939
0.9076,0.9938,0.976,0.9938
0.9119,0.9944,0.9757,0.9938
0.913,0.995,0.9751,0.9938
0.9151,0.9955,0.9748,0.9938
0.9168,0.9957,0.9745,0.9936
0.9185,0.9958,0.9742,0.9939
0.9197,0.9963,0.9739,0.9938
0.9202,0.9963,0.9736,0.9941
0.9196,0.9961,0.9735,0.9943
0.1815,0.5033,0.0,0.1875
0.2041,0.5261,0.0509,0.9509
0.2444,0.6112,0.9287,0.9785
0.3521,0.7508,0.961,0.9869
0.6031,0.8978,0.9702,0.9897
0.8015,0.9701,0.9717,0.9918
0.8865,0.988,0.9725,0.9915
0.9113,0.994,0.9725,0.9919
0.9182,0.9958,0.9729,0.9935
0.9196,0.9961,0.9735,0.9943
0.9091,0.9957,0.9766,0.9961
0.9122,0.9958,0.9761,0.9958
0.9148,0.996,0.9758,0.9957
0.9173,0.9962,0.9753,0.9951
0.9185,0.996,0.9748,0.995
0.9194,0.9962,0.9745,0.9948
0.9203,0.9964,0.974,0.9945
0.9199,0.9961,0.9737,0.9943
0.9203,0.9961,0.9736,0.9944
0.9196,0.9961,0.9735,0.9943
0.9196,0.9962,0.9734,0.9927
0.9196,0.9963,0.9734,0.9931
0.9198,0.9963,0.9734,0.9934
0.9198,0.9963,0.9735,0.9935
0.9198,0.9963,0.9735,0.9936
0.9197,0.9962,0.9735,0.9936
0.9196,0.9962,0.9735,0.9937
0.9196,0.9961,0.9735,0.9938
0.9197,0.9961,0.9735,0.9941
0.9196,0.9961,0.9735,0.9943
